id,name,slug,description,temperament,size,energy_level,good_with_kids,training_ease,grooming_needs,barking_level,shedding_level,apartment_friendly,good_with_pets,drooling_tendency,separation_anxiety_risk,climate_suitability,noise_sensitivity,weight_min,weight_max,height_min,height_max,lifespan_min,lifespan_max,coat_type,exercise_needs,grooming,training,origin,group,breed_type,image_url,is_active,created_at,updated_at,heat_tolerance,cold_tolerance,optimal_temp_min,optimal_temp_max,parent_breed_1,parent_breed_2,generation
0004318e-b105-4ea2-9730-49aff2a367fd,Great Pyrenees,great-pyrenees,"Picture a cloud that decided to become a dog and take up mountain rescue work. Great Pyrenees are magnificent white guardians who look like they stepped out of a fairy tale about noble mountain spirits. These independent souls were bred to make life-or-death decisions while protecting sheep in the Pyrenees mountains, which explains why they're not particularly interested in your opinion about when to come inside. They're nocturnal barkers who consider 2 AM the perfect time for community announcements about suspicious leaves. Their double coat sheds enough to stuff pillows, and their stubborn streak runs deeper than mountain valleys. They're devoted but aloof, like having a wise, furry hermit who occasionally grants audiences but never quite explains their mysterious ways.","Great Pyrenees is friendly, adaptable, and full of character. They thrive in loving homes and enjoy an active, engaged lifestyle.",Giant,2,3,2,5,4,4,2,2,3,3,4,3,39,73,63,81,10,12,Double coat,Moderate to high depending on breed.,"Very high grooming needs with thick, long double coat requiring daily brushing during shedding seasons","Mountain guardians who'll learn selectively, preferring commands that align with livestock protection duties.",France,Working,purebred,,true,2025-11-21 06:05:02.919583+00,2026-02-20 23:08:38.89079+00,2,5,-30,20,,,
011cfda0-27cb-4801-bddf-bc69c13194f6,Border Terrier,border-terrier,"Picture a scruffy teddy bear that moonlights as a farmyard bouncer. These compact charmers look like they've been styled by a hedge trimmer but possess hearts bigger than their modest frames. Originally bred to follow foxhunts on foot, Border Terriers are the working-class heroes of the terrier world ? tough enough to handle business but sweet enough to curl up on your sofa afterward. Their weather-resistant coats and otter-like heads give them an endearingly rumpled appearance, like they've just rolled out of bed but are ready for adventure. They're remarkably even-tempered for terriers, though they'll still cheerfully evict any rodents from your property. Perfect for families wanting a dog with terrier spunk minus the typical terrier attitude problems. Low-maintenance but high-reward companions.","Hardy, affectionate, and always ready for action. Great with active families.",Small,4,3,2,3,4,3,3,3,1,3,4,3,5,7,28,40,13,15,Wire coat,"Requires 45-60 minutes of daily activity, mixing brisk walks with energetic play.",Low to moderate grooming needs with wiry coat requiring weekly brushing and occasional hand-stripping,"Workmanlike learners who approach training like a honest day's job - no fuss, just results.",United Kingdom,Terrier,purebred,,true,2025-11-21 06:04:50.462026+00,2026-01-17 02:12:21.301237+00,3,3,0,28,,,
01393b08-619d-479c-ac09-5b28c527e563,Saint Berdoodle,saint-berdoodle,"The Saint Berdoodle is essentially a living, breathing teddy bear that somehow learned to open doors and steal hearts. This Saint Bernard-Poodle cross combines the rescue dog's legendary gentleness with the Poodle's intelligence, creating a giant who believes their job is being everyone's best friend and occasional therapy dog. They're the gentle giants of the dog world, possessing an almost supernatural patience with children and an uncanny ability to sense when someone needs a 40-kilogram hug. Saint Berdoodles are perfect for families who want a substantial dog with a heart even bigger than their substantial appetite. They inherit the Saint Bernard's laid-back nature but thankfully often get the Poodle's reduced drooling genes. These curly-coated ambassadors turn every walk into a meet-and-greet session, assuming every human they encounter is just a friend they haven't officially met yet. Fair warning: they may try to be lap dogs despite clear evidence to the contrary.","Gentle, patient, friendly; excellent with children; calm temperament; may drool; protective but not aggressive; easy-going.",Giant,4,5,3,4,2,3,3,5,3,2,2,1,27,68,61,76,8,12,Wavy to curly coat,"Moderate, enjoys walks but not overly demanding; adaptable to owner's activity level.",High maintenance; requires regular brushing; professional grooming needed; drool management.,Intelligent and eager to please; gentle training methods work best; learns steadily.,USA,Crossbreed,purebred,,true,2025-11-21 06:04:49.537796+00,2026-02-20 23:08:38.89079+00,3,3,0,28,,,
0280984f-5197-4972-8fd1-18da1c9cea38,Norfolk Terrier,norfolk-terrier,"The Norfolk Terrier might be one of the smallest terriers around, but don't let the compact size fool you this little scrapper was bred to pull his weight in the rough fields of East Anglia. Picture Victorian-era farmers with rat problems, fox problems, and pretty much every small-and-fast animal problem, and you'll understand why the Norfolk was developed: to dive headfirst into burrows and chase out troublemakers. Not bad for a dog that barely tips the scales heavier than a full kettle. Originally lumped in with the Norwich Terrier, the Norfolk only got its own official identity in the 1960s. The key difference? Ears. The Norfolk sports folded, ""dropped"" ears, while his Norwich cousins stick theirs upright like aerials tuned to BBC Radio. Same body, same job, but the Norfolk looks like he's perpetually mid-nap, while the Norwich is always on high alert. Despite their farm-dog heritage, Norfolk Terriers quickly discovered that couches and rugs were easier than hay bales and hedgerows. These days you'll find them more often navigating suburban gardens than English fields, though the instincts remainleave them alone in your backyard and every rat, mouse, and possum will be served an eviction notice and hunted. Temperament-wise, they're classic terriers: bold, independent, and cheeky enough to make you question who's running the household. Yet they're also surprisingly affectionate for the breed group, often nicknamed ""demon in the field, angel in the house."" They don't yap like some toy breeds, but you can expect sharp opinions delivered if the postie dares to walk past. Training is best done with patience, humour, and the occasional bribe (treats work better than lectures). A lovely little dog, and a perfect companion. The Norfolk's wiry coat is low-shedding and fairly low-maintenance, though it benefits from the occasional hand-strip to keep it tidy. Health-wise, they're hardy little things, designed to withstand the British countryside's damp and mud, so most live long, spry lives well into their teens. Ultimately, owning a Norfolk Terrier is like hiring a pint-sized farmhand who thinks he's management. They'll keep pests down, keep you laughing, and remind you that big character doesn't need a big frame. They're not just dogs; they're East Anglian history with a wagging tail.",Friendly and loyal companion,Small,4,4,2,3,4,4,3,3,1,3,4,3,4,5,24,25,13,15,"A double coat: a harsh, wiry topcoat and a soft, warm undercoat","They need a considerable amount of exercise for little dogs, an hour or two a day especially as puppies.",Their wiry coat requiring weekly brushing and occasional hand-stripping.,Compact workers who learn steadily and will start ordering you around.,United Kingdom,Terrier,purebred,,true,2025-11-21 06:04:40.24602+00,2026-01-17 02:12:21.301237+00,2,4,10,30,,,
03ae65b1-ac91-418b-842c-daf03123c773,Gollie,gollie,"The Gollie is what happens when a Golden Retrievers sunny outlook collides with a Border Collies brainpower. At 2334kg and 5171cm at the shoulder, youre not dealing with a lap dog; youre dealing with a fourlegged athlete who will happily run all day then climb on the sofa to watch telly. They inherit the Retrievers gentle mouth and devotion, plus the Collies problemsolving skills and work ethic. This means theyll fetch your slippers on command then reorganise your sock drawer while youre not looking. They like nothing better than to solve a puzzle and herd something, so dont be surprised if they try to round up your children, visitors and the occasional cat. They need one to two hours of exercise daily and plenty of mental stimulation, otherwise theyll invent their own entertainment  usually at the expense of your shoes. Grooming is moderate; their thick coat sheds and needs regular brushing. Healthwise theyre generally robust but may inherit hip and elbow problems or eye conditions from the parent breeds, so choose a reputable breeder and keep up with vet checks. With proper training these dogs excel in obedience, agility and any job that engages their minds, but their adolescent clown phase can last until age three. In short, if youre an active family who appreciates a dog that can keep up with weekend hikes and help the kids with their maths homework, the Gollie is your kind of sidekick.","Intelligent, energetic, loyal; excellent with families; eager to please; may herd children; requires mental stimulation; friendly but alert.",Large,4,4,2,4,2,4,3,4,2,3,3,2,20,35,51,66,10,14,Medium double coat,"High, needs daily exercise and mental challenges.",Regular brushing required; seasonal shedding increases; occasional baths needed.,Highly intelligent and eager to please; responds well to positive reinforcement.,Australia/USA,Crossbreed,designer,,true,2025-11-21 06:05:06.461024+00,2026-01-17 02:12:21.301237+00,2,4,0,28,Golden Retriever,Collie,F1
045ce5b4-08d2-41ce-9f3c-73671150fc17,Pumi,pumi,"The Pumi is Hungarys lively little workhorse, instantly recognisable by its tousled curls and springy corkscrew tail. Medium-sized but bursting with energy, this herding breed thrives on action and thrives even more when given a job to do.

Originally bred to drive cattle and sheep across the Hungarian countryside, the Pumi is equal parts athlete and strategist. Quick on its feet, sharp in its mind, and endlessly enthusiastic, this is a dog that approaches every task with gustowhether its herding stock, mastering agility courses, or reorganising your household with stubborn charm.

Their expressive faces are a giveaway: one moment alert and focused, the next playful and mischievous. They form strong bonds with their families, mixing loyalty with a touch of comic relief. But dont be fooledwithout daily exercise and plenty of mental stimulation, a bored Pumi will invent its own entertainment, and you might not approve of the results.

Moderately vocal, they make natural watchdogs, their sharp barks carrying further than youd expect. Training, though, is essential to channel that voice and their bustling energy into something useful. Handled well, theyre brilliant companions: clever, agile, and spirited to the core.

For owners who enjoy a dog thats as active in mind as in body, the Pumi is a whip-smart partner with a Hungarian twistproof that good things really do come in curly packages.","Energetic, intelligent and loyal companion with a strong herding instinct",Medium,4,3,2,3,4,4,3,3,2,3,3,3,8,15,38,47,12,13,Double,High exercise needs with daily physical and mental stimulation required,Moderate grooming needs with distinctive curly coat requiring regular brushing and professional trimming every 4-6 months,"Quick learners with strong work ethic, responding well to positive reinforcement training",Hungary,Herding,purebred,,true,2025-11-21 06:04:40.625948+00,2026-02-20 23:08:38.89079+00,2,4,0,28,,,
047ac754-c32c-4635-baae-b2cc08c667b1,Chinese Crested,chinese-crested,"The dog equivalent of a punk rock star who forgot their shirt. These hairless beauties (with powderpuff variety exceptions) sport mohawk-style crests and feathery feet that make them look like they're perpetually ready for a concert. Their warm, soft skin feels surprisingly pleasant, though they require sunscreen and sweaters like high-maintenance supermodels. Graceful and cat-like in movement, they're elegant athletes who can leap tall furniture in single bounds. Affectionate with their families but reserved with strangers, they're excellent judges of character who'll politely ignore people they don't fancy. Their lack of fur means less shedding but more climate control concerns. Perfect for those wanting an unusual, devoted companion who doubles as a living, breathing conversation starter.","Playful, affectionate, and delightfully quirky. Thrives on human attention and loves being pampered.",Small,2,3,3,3,3,3,3,3,1,3,2,3,2,5,23,33,13,18,Smooth coat,"Requires 30?45 minutes of light exercise daily, such as short walks and gentle play.",Low grooming needs for hairless variety with skin care; moderate needs for powderpuff variety requiring regular brushing,Elegant and sensitive learners who prefer gentle training with minimal harsh critiques of their performance.,China,Toy,purebred,,true,2025-11-21 06:05:03.970724+00,2026-02-20 23:08:38.89079+00,3,2,5,28,,,
04934973-114b-47d1-b24d-b004faca5b2b,Pointer (English),pointer-english,"Meet the canine equivalent of a living compass, programmed to find birds with the precision of GPS and the subtlety of a statue garden. These athletic aristocrats freeze mid-stride like they've been paused by a remote control, one paw raised, tail straight, creating living lawn ornaments that occasionally remember to breathe. Originally bred to point game birds for hunters, they approach life with laser focus interrupted by moments of spectacular goofiness. Their noble expressions hide minds that oscillate between """"intense bird detection mode"""" and """"did someone say dinner?"""" They're gentle giants who think they're lap dogs, often found draped across furniture with zero awareness of their considerable size. Perfect for active families who appreciate dogs that take their jobs seriously but clock out for belly rubs.","Pointer is friendly, adaptable, and full of character. They thrive in loving homes and enjoy an active, engaged lifestyle.",Large,5,3,2,3,2,4,3,3,3,3,4,3,20,34,61,69,12,17,Double coat,Moderate to high depending on breed.,"Low grooming needs with short, dense coat requiring weekly brushing",Bird specialists who learn eagerly but get distracted by anything that might be concealing game birds.,United Kingdom,Sporting,purebred,,true,2025-11-21 06:04:46.260431+00,2026-01-17 02:12:21.301237+00,2,4,0,28,,,
04f447e2-05a7-4493-90df-6d806f00578a,Shorkie,shorkie,A charming lap dog with luxurious coat. Combines Shih Tzu calmness with Yorkie spirit—great for apartments and seniors.,"Affectionate, Loyal, Playful, Alert",small,3,4,3,5,3,1,5,4,1,4,3,4,2,5,15,25,12,16,Silky,Low,Daily brushing recommended,Moderate difficulty,United States,Hybrid,designer,,true,2025-12-13 05:44:02.368256+00,2026-01-17 02:12:21.301237+00,2,2,15,24,Shih Tzu,Yorkshire Terrier,F1
05a43741-976e-416e-b417-bfff30eb50df,Kangweiler,kangweiler,"The magnificent mashup of a Kangal's guardian instincts and a Rottweiler's work ethic, resulting in a dog that takes protection duties very seriously. These powerful hybrids are like having a bouncer with a psychology degree ? they read situations with impressive accuracy and respond accordingly. They inherit the Kangal's calm assessment skills and the Rottweiler's unwavering loyalty, creating a dog that's both thoughtful and formidable. They move with controlled power, like athletes who know exactly how strong they are and choose restraint. Their intelligence shines through their steady gaze ? these aren't dogs that act first and think later. They're devoted family guardians who need experienced handlers and proper socialization. Think of them as elite security personnel who happen to love belly rubs and will judge your midnight snacking habits with gentle disapproval.",Friendly and loyal companion,Giant,4,3,2,2,3,4,3,3,3,3,2,3,45,64,60,69,9,13,Double coat,Regular exercise,Low to moderate grooming needs with short coat requiring weekly brushing,"Power mix who'll learn intensely but always maintain that """"I could guard a small country"""" confidence.",Mixed,Designer,purebred,,true,2025-11-21 06:05:09.464742+00,2026-02-20 23:08:38.89079+00,2,4,0,28,,,
